mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2791;2.71827;0.000347961
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.89252;0.000370267
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.83622;0.00036306
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2791;2.72001;0.000348184
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.83546;0.000362962
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_seq.h5;seq;43.2791;2.83623;0.000363061
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3819;5.45941;0.0013977
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.68537;0.00145555
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.67894;0.0014539
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3819;5.46531;0.00139921
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.68042;0.00145428
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_seq.h5;seq;28.3819;5.67958;0.00145407
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9999;13.4142;0.0068685
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7634;0.00704731
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7502;0.00704057
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9999;13.2779;0.00679871
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7538;0.00704239
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_seq.h5;seq;22.9999;13.7541;0.00704255
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;27.0456;0.0277106
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;28.2284;0.0289225
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;28.1802;0.0288731
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;28.0189;0.0287079
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;27.9826;0.0286706
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_seq.h5;seq;21.0745;28.0952;0.028786
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;55.6521;0.114041
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;56.0235;0.114802
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;56.7643;0.11632
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;54.9796;0.112663
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;57.0215;0.116847
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_seq.h5;seq;20.387;57.0108;0.116825
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;1.4667;1.87737e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;2.03882;2.60969e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;2.84459;3.64108e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.15535;2.75885e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;3.08641;3.9506e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;3.5356;4.52557e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.63321;4.18108e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;2.77158;7.09533e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;3.06858;7.85565e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;2.1748;5.56756e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;2.82633;7.23549e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;3.23268;8.27578e-05
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;2.41158;0.000123475
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;3.73657;0.000191315
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;4.12957;0.000211437
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2268;2.7174;0.000139133
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2268;4.03541;0.000206616
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2268;4.51958;0.000231406
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;5.12049;0.000524371
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;8.1498;0.000834593
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;8.30152;0.00085013
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;5.40483;0.00055349
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;8.28752;0.000848696
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;8.61181;0.000881906
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;11.9083;0.00243922
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;20.7506;0.00425044
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;18.6635;0.00382292
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;11.848;0.00242688
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;20.6647;0.00423283
16;4;4;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;18.7593;0.00384254
32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;1.10085;1.40909e-05
32;4;8;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;1.78273;2.28189e-05
32;4;8;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;2.46114;3.15026e-05
32;4;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;1.86013;2.38097e-05
32;4;8;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;2.54161;3.25326e-05
32;4;8;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;3.59212;4.59791e-05
32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.07367;2.74864e-05
32;4;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;1.9659;5.03276e-05
32;4;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;2.4421;6.25185e-05
32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.4613;3.74097e-05
32;4;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;2.47594;6.33848e-05
32;4;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;2.76643;7.08214e-05
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;1.33807;6.85099e-05
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;2.75484;0.00014105
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;3.17787;0.000162709
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;1.5986;8.18495e-05
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;3.04465;0.000155888
32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;3.43797;0.000176026
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;2.36929;0.000242631
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;5.47647;0.000560827
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;5.8145;0.000595443
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;2.59533;0.000265779
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;5.94463;0.000608769
32;4;8;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;6.01897;0.000616382
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;7.80061;0.00159783
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;16.646;0.00340967
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;14.7527;0.00302186
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;7.97867;0.0016343
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;17.5292;0.00359059
32;4;8;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;14.8397;0.00303968
64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;1.16171;1.48699e-05
64;8;8;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;1.96532;2.51561e-05
64;8;8;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;5.0733;6.49383e-05
64;8;8;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;2.57074;3.29055e-05
64;8;8;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;3.44874;4.41439e-05
64;8;8;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;6.66781;8.5348e-05
64;8;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;0.898324;2.29974e-05
64;8;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;1.96441;5.02896e-05
64;8;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;4.37656;0.000112041
64;8;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.61026;4.12231e-05
64;8;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;2.68591;6.87603e-05
64;8;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;7.75933;0.000198641
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;0.885542;4.53403e-05
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;2.57256;0.000131717
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;14.403;0.000737441
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;1.31729;6.74462e-05
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;3.0248;0.000154872
64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;13.8372;0.000708476
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;1.27926;0.000131005
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;4.46346;0.000457087
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;13.1815;0.00134987
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;1.57885;0.000161685
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;5.07749;0.000519969
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;9.70976;0.000994343
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;3.42392;0.000701335
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;11.8917;0.00243582
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;19.5272;0.00399984
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;3.68882;0.000755596
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;12.7529;0.00261223
64;8;8;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;36.4102;0.00745806
128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;1.17012;1.49775e-05
128;8;16;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;2.36705;3.02982e-05
128;8;16;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;6.39899;8.1907e-05
128;8;16;1;256;78125;50;0.001;input_data_256.h5;;par;83.7937;3.09603;3.96291e-05
128;8;16;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;4.3756;5.60077e-05
128;8;16;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/256x256_out_mpi_2d_par.h5;par;83.7937;8.80533;0.000112708
128;8;16;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;0.798736;2.04479e-05
128;8;16;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;2.12568;5.44182e-05
128;8;16;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;4.64957;0.000119031
128;8;16;1;512;39062;50;0.001;input_data_512.h5;;par;45.6217;1.73629;4.44496e-05
128;8;16;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;3.11941;7.98579e-05
128;8;16;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/512x512_out_mpi_2d_par.h5;par;45.6217;6.54682;0.000167601
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;0.669618;3.42849e-05
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;2.61932;0.000134111
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;3.76531;0.000192787
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2269;1.15987;5.93859e-05
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;3.12503;0.000160003
128;8;16;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/1024x1024_out_mpi_2d_par.h5;par;29.2269;4.1018;0.000210015
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;0.760495;7.78797e-05
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;4.57324;0.00046833
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;23.9345;0.00245105
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.2938;1.04238;0.000106746
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;5.06935;0.000519135
128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/2048x2048_out_mpi_2d_par.h5;par;23.2938;7.68456;0.000786949
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;1.29047;0.000264332
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;9.86876;0.00202146
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;18.9205;0.00387556
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1716;1.49864;0.000306972
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;10.801;0.00221242
128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/dd-22-68/xpleva07/881559.isrv1/4096x4096_out_mpi_2d_par.h5;par;21.1716;30.5971;0.00626734
